step,time,pf_lat,pf_lon,pf_alt,t1_lat,t1_lon,t1_alt,t1_yaw,t1_vx,t1_vy,t1_vz,t1_spd,t2_lat,t2_lon,t2_alt,t2_yaw,t2_vx,t2_vy,t2_vz,t2_spd
101,10.1000,32.000000000,126.000000000,0.0000,32.125000000,126.026789054,0.0000,-90.0000,24.262262,17.644903,0.000000,30.000000,32.101784405,126.000000000,300.0000,-180.0000,-62.472751,85.986365,-169.421074,200.000000
102,10.2000,32.000000000,126.000000000,0.0000,32.125000000,126.026757263,0.0000,-90.0000,24.262272,17.644890,0.000000,30.000000,32.101604052,126.000000000,300.0000,-180.0000,-62.472438,85.985934,-169.421409,200.000000
103,10.3000,32.000000000,126.000000000,0.0000,32.125000000,126.026725471,0.0000,-90.0000,24.262282,17.644877,0.000000,30.000000,32.101423699,126.000000000,300.0000,-180.0000,-62.472124,85.985502,-169.421743,200.000000
104,10.4000,32.000000000,126.000000000,0.0000,32.125000000,126.026693680,0.0000,-90.0000,24.262292,17.644863,0.000000,30.000000,32.101243347,126.000000000,300.0000,-180.0000,-62.471811,85.985071,-169.422078,200.000000
105,10.5000,32.000000000,126.000000000,0.0000,32.125000000,126.026661888,0.0000,-90.0000,24.262302,17.644850,0.000000,30.000000,32.101062994,126.000000000,300.0000,-180.0000,-62.471497,85.984639,-169.422412,200.000000
106,10.6000,32.000000000,126.000000000,0.0000,32.125000000,126.026630097,0.0000,-90.0000,24.262311,17.644836,0.000000,30.000000,32.100882641,126.000000000,300.0000,-180.0000,-62.471184,85.984208,-169.422747,200.000000
107,10.7000,32.000000000,126.000000000,0.0000,32.125000000,126.026598305,0.0000,-90.0000,24.262321,17.644823,0.000000,30.000000,32.100702289,126.000000000,300.0000,-180.0000,-62.470870,85.983776,-169.423082,200.000000
108,10.8000,32.000000000,126.000000000,0.0000,32.125000000,126.026566513,0.0000,-90.0000,24.262331,17.644809,0.000000,30.000000,32.100521936,126.000000000,300.0000,-180.0000,-62.470557,85.983345,-169.423416,200.000000
109,10.9000,32.000000000,126.000000000,0.0000,32.125000000,126.026534722,0.0000,-90.0000,24.262341,17.644796,0.000000,30.000000,32.100341583,126.000000000,300.0000,-180.0000,-62.470243,85.982913,-169.423751,200.000000
110,11.0000,32.000000000,126.000000000,0.0000,32.125000000,126.026502930,0.0000,-90.0000,24.262351,17.644782,0.000000,30.000000,32.100161230,126.000000000,300.0000,-180.0000,-62.469930,85.982482,-169.424085,200.000000
111,11.1000,32.000000000,126.000000000,0.0000,32.125000000,126.026471139,0.0000,-90.0000,24.262360,17.644769,0.000000,30.000000,32.099980878,126.000000000,300.0000,-180.0000,-62.469616,85.982051,-169.424420,200.000000
112,11.2000,32.000000000,126.000000000,0.0000,32.125000000,126.026439347,0.0000,-90.0000,24.262370,17.644755,0.000000,30.000000,32.099800525,126.000000000,300.0000,-180.0000,-62.469303,85.981619,-169.424754,200.000000
113,11.3000,32.000000000,126.000000000,0.0000,32.125000000,126.026407556,0.0000,-90.0000,24.262380,17.644742,0.000000,30.000000,32.099620172,126.000000000,300.0000,-180.0000,-62.468989,85.981188,-169.425089,200.000000
114,11.4000,32.000000000,126.000000000,0.0000,32.125000000,126.026375764,0.0000,-90.0000,24.262390,17.644728,0.000000,30.000000,32.099439819,126.000000000,300.0000,-180.0000,-62.468676,85.980756,-169.425423,200.000000
115,11.5000,32.000000000,126.000000000,0.0000,32.125000000,126.026343973,0.0000,-90.0000,24.262400,17.644715,0.000000,30.000000,32.099259467,126.000000000,300.0000,-180.0000,-62.468363,85.980325,-169.425758,200.000000
