t,id,lat_deg,lon_deg,alt_m,yaw_deg
9.5,1,32.125000000,126.026979803,0.0001,270.0000
9.5,2,32.102866521,126.000000000,300.0030,180.0000
9.6,0,32.000000000,126.000000000,0.0000,0.0000
9.6,1,32.125000000,126.026948012,0.0001,270.0000
9.6,2,32.102686168,126.000000000,300.0031,180.0000
9.7,0,32.000000000,126.000000000,0.0000,0.0000
9.7,1,32.125000000,126.026916220,0.0001,270.0000
9.7,2,32.102505815,126.000000000,300.0031,180.0000
9.8,0,32.000000000,126.000000000,0.0000,0.0000
9.8,1,32.125000000,126.026884429,0.0001,270.0000
9.8,2,32.102325463,126.000000000,300.0031,180.0000
9.9,0,32.000000000,126.000000000,0.0000,0.0000
9.9,1,32.125000000,126.026852637,0.0001,270.0000
9.9,2,32.102145110,126.000000000,300.0031,180.0000
10.0,0,32.000000000,126.000000000,0.0000,0.0000
10.0,1,32.125000000,126.026820846,0.0001,270.0000
10.0,2,32.101964757,126.000000000,300.0032,180.0000
10.1,0,32.000000000,126.000000000,0.0000,0.0000
10.1,1,32.125000000,126.026789054,0.0001,270.0000
10.1,2,32.101784424,125.999996883,300.0032,180.8428
10.2,0,32.000000000,126.000000000,0.0000,0.0000
10.2,1,32.125000000,126.026757263,0.0001,270.0000
10.2,2,32.101604150,125.999990651,300.0032,181.6856
10.3,0,32.000000000,126.000000000,0.0000,0.0000
10.3,1,32.125000000,126.026725471,0.0001,270.0000
10.3,2,32.101423972,125.999981304,300.0033,182.5285
10.4,0,32.000000000,126.000000000,0.0000,0.0000
10.4,1,32.125000000,126.026693680,0.0001,270.0000
10.4,2,32.101243932,125.999968844,300.0033,183.3713
10.5,0,32.000000000,126.000000000,0.0000,0.0000
10.5,1,32.125000000,126.026661888,0.0001,270.0000
10.5,2,32.101064067,125.999953274,300.0033,184.2141
10.6,0,32.000000000,126.000000000,0.0000,0.0000
10.6,1,32.125000000,126.026630097,0.0001,270.0000
10.6,2,32.100884416,125.999934598,300.0034,185.0569
10.7,0,32.000000000,126.000000000,0.0000,0.0000
10.7,1,32.125000000,126.026598305,0.0001,270.0000
10.7,2,32.100705019,125.999912820,300.0034,185.8997
10.8,0,32.000000000,126.000000000,0.0000,0.0000
10.8,1,32.125000000,126.026566513,0.0001,270.0000
10.8,2,32.100525913,125.999887944,300.0034,186.7426
10.9,0,32.000000000,126.000000000,0.0000,0.0000
10.9,1,32.125000000,126.026534722,0.0001,270.0000
10.9,2,32.100347139,125.999859975,300.0035,187.5854
11.0,0,32.000000000,126.000000000,0.0000,0.0000
11.0,1,32.125000000,126.026502930,0.0001,270.0000
11.0,2,32.100168734,125.999828921,300.0035,188.4282
11.1,0,32.000000000,126.000000000,0.0000,0.0000
11.1,1,32.125000000,126.026471139,0.0001,270.0000
11.1,2,32.099990737,125.999794786,300.0035,189.2710
11.2,0,32.000000000,126.000000000,0.0000,0.0000
11.2,1,32.125000000,126.026439347,0.0001,270.0000
11.2,2,32.099813187,125.999757580,300.0036,190.1138
11.3,0,32.000000000,126.000000000,0.0000,0.0000
11.3,1,32.125000000,126.026407556,0.0001,270.0000
11.3,2,32.099636122,125.999717310,300.0036,190.9567
11.4,0,32.000000000,126.000000000,0.0000,0.0000
11.4,1,32.125000000,126.026375764,0.0001,270.0000
11.4,2,32.099459580,125.999673984,300.0036,191.7995
11.5,0,32.000000000,126.000000000,0.0000,0.0000
11.5,1,32.125000000,126.026343973,0.0001,270.0000
11.5,2,32.099283600,125.999627613,300.0037,192.6423
11.6,0,32.000000000,126.000000000,0.0000,0.0000
11.6,1,32.125000000,126.026312181,0.0001,270.0000
11.6,2,32.099108219,125.999578205,300.0037,193.4851
11.7,0,32.000000000,126.000000000,0.0000,0.0000
11.7,1,32.125000000,126.026280390,0.0001,270.0000
11.7,2,32.098933476,125.999525773,300.0037,194.3279
11.8,0,32.000000000,126.000000000,0.0000,0.0000
11.8,1,32.125000000,126.026248598,0.0001,270.0000
11.8,2,32.098759409,125.999470326,300.0037,195.1708
11.9,0,32.000000000,126.000000000,0.0000,0.0000
11.9,1,32.125000000,126.026216806,0.0001,270.0000
11.9,2,32.098586054,125.999411878,300.0038,196.0136
12.0,0,32.000000000,126.000000000,0.0000,0.0000
12.0,1,32.125000000,126.026185015,0.0001,270.0000
12.0,2,32.098413450,125.999350440,300.0038,196.8564
12.1,0,32.000000000,126.000000000,0.0000,0.0000
12.1,1,32.125000000,126.026153223,0.0001,270.0000
12.1,2,32.098241634,125.999286027,300.0038,197.6992
12.2,0,32.000000000,126.000000000,0.0000,0.0000
12.2,1,32.125000000,126.026121432,0.0001,270.0000
